央视,#genre#
CCTV-1 综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CCTV-1H265_4000.m3u8
CCTV-2 财经 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CCTV-2H265_4000.m3u8
CCTV-3 综艺 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CCTV-3H265_4000.m3u8
CCTV-4 中文国际 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CCTV-4H265_4000.m3u8
CCTV-5 体育 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CCTV-5H265_4000.m3u8
CCTV-5⁺ 体育赛事 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CCTV-5plusH265_4000.m3u8
CCTV-6 电影 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CCTV-6H265_4000.m3u8
CCTV-7 国防军事 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CCTV-7H265_4000.m3u8
CCTV-8 电视剧 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CCTV-8H265_4000.m3u8
CCTV-9 纪录 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CCTV-9H265_4000.m3u8
CCTV-10 科教 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CCTV-10H265_4000.m3u8
CCTV-11 戏曲 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CCTV-11-H265_4000.m3u8
CCTV-12 社会与法 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CCTV-12H265_4000.m3u8
CCTV-13 新闻 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CCTV-xw_4000.m3u8
CCTV-14 少儿 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CCTV-14H265_4000.m3u8
CCTV-15 音乐 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CCTV-15-yyH265_4000.m3u8
CCTV-16 奥林匹克 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CCTV-16_4000.m3u8
CCTV-16 奥林匹克 4K,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CCTV-16-4K_8000.m3u8
CCTV-17 农业农村 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CCTV-17_4000.m3u8
CCTV-4K 超高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ys4Kcq_2000.m3u8
CETV-1 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/CETV-1H264_4000.m3u8
卫视,#genre#
凤凰中文 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/test1_4000.m3u8
凤凰资讯 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/test2_4000.m3u8
黑龙江卫视 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/hljwsH265_4000.m3u8
吉林卫视 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/jlwsH265_4000.m3u8
辽宁卫视 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/lnwsHDH264_4000.m3u8
青海卫视 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/qhwsH264_2000.m3u8
北京卫视 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/bjwsH265_4000.m3u8
天津卫视 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/tjwsH265_4000.m3u8
河南卫视 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/hnws35_4000.m3u8
梨园频道 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ly_4000.m3u8
文物宝库 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/wwbk_4000.m3u8
武术世界 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/wssj_4000.m3u8
山东卫视 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/sdwsH265_4000.m3u8
江苏卫视 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/jswsH265_4000.m3u8
东方卫视 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/dfwsH265_4000.m3u8
安徽卫视 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ahwsH265_4000.m3u8
湖北卫视 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/hbwsH265_4000.m3u8
湖南卫视 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/hnwsH265_4000.m3u8
金鹰纪实 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/jyjsHDH265_4000.m3u8
金鹰卡通 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/jykt_2000.m3u8
